Transaction ID,Amazon Transaction
Trans1,Kindle E-reader
Trans2,"Kindle E-reader, Echo Dot (4th Gen)"
Trans3,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K"
Trans4,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set"
Trans5,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker"
Trans6,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle"
Trans7,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable"
Trans8,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet"
Trans9,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet, AAA Performance Alkaline Batteries"
Trans10,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet, AAA Performance Alkaline Batteries, Quick-Dry Bath Towels"
Trans11,Kindle E-reader
Trans12,"Kindle E-reader, Echo Dot (4th Gen)"
Trans13,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K"
Trans14,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set"
Trans15,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker"
Trans16,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle"
Trans17,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable"
Trans18,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet"
Trans19,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet, AAA Performance Alkaline Batteries"
Trans20,"Kindle E-reader, Echo Dot (4th Gen), Fire TV Stick 4K, Microfiber Sheet Set, Portable Wireless Bluetooth Speaker, Stainless Steel Electric Kettle, High-Speed HDMI Cable, Silicone Baking Mat Sheet, AAA Performance Alkaline Batteries, Quick-Dry Bath Towels"
